question_id,mean_distance_a,relevance_score,hallucination_index_by_equation,hallucination_index_by_ml,vector_distances,vector_scores,bm25_scores,rerank_sentiments
1,208.406,92.0,0,23.0,"[153.269, 174.699, 194.208, 174.699, 274.709]","[0.685, 0.642, 0.603, 0.642, 0.44]","[0.069, 0.033, 0.019, 0.033, 0.011]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
2,214.017,91.0,0,30.0,"[188.475, 204.406, 220.142, 188.475]","[0.614, 0.582, 0.55, 0.614]","[0.043, 0.035, 0.018, 0.043]","['neutral', 'neutral', 'neutral', 'neutral']"
3,160.927,96.0,0,29.0,"[138.35, 155.431, 161.299, 161.78, 162.157, 163.365, 138.35, 155.431]","[0.716, 0.681, 0.669, 0.668, 0.667, 0.665, 0.716, 0.681]","[0.079, 0.071, 0.062, 0.054, 0.049, 0.041, 0.079, 0.071]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
4,387.468,74.0,21.0,42.0,"[387.468]","[0.212]","[0.01]","['neutral']"
5,125.659,98.0,0,30.0,"[96.155, 120.299, 131.77, 154.413]","[0.801, 0.752, 0.729, 0.683]","[0.151, 0.15, 0.072, 0.056]","['neutral', 'neutral', 'neutral', 'neutral']"
6,193.856,92.0,0,25.0,"[108.637, 115.626, 138.076, 151.709, 155.911, 169.504, 155.911, 255.866, 302.741, 115.626]","[0.776, 0.761, 0.716, 0.689, 0.68, 0.653, 0.68, 0.478, 0.383, 0.761]","[0.18, 0.167, 0.139, 0.118, 0.095, 0.077, 0.095, 0.036, 0.021, 0.167]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
7,237.442,88.0,0,32.0,"[157.441, 204.237, 286.689, 157.441]","[0.677, 0.582, 0.416, 0.677]","[0.197, 0.059, 0.047, 0.197]","['entailment', 'neutral', 'neutral', 'entailment']"
8,201.349,91.0,0,26.0,"[89.883, 136.144, 89.883]","[0.814, 0.72, 0.814]","[0.133, 0.107, 0.133]","['neutral', 'neutral', 'neutral']"
9,172.453,94.0,0,23.0,"[118.853, 120.266, 130.728, 135.052, 140.915, 172.297, 183.585, 183.944, 184.457, 135.052, 172.297, 183.585, 201.757, 212.298, 120.266]","[0.755, 0.752, 0.731, 0.722, 0.71, 0.647, 0.624, 0.623, 0.622, 0.722, 0.647, 0.624, 0.587, 0.566, 0.752]","[0.133, 0.132, 0.127, 0.127, 0.118, 0.117, 0.112, 0.087, 0.084, 0.127, 0.117, 0.112, 0.06, 0.06, 0.132]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
10,87.605,100,0,25.0,"[54.254, 58.453, 64.904, 66.166, 68.749, 71.423, 77.741, 83.984, 86.99, 83.984, 58.453, 112.391, 117.371, 54.254]","[0.886, 0.877, 0.864, 0.861, 0.856, 0.851, 0.838, 0.825, 0.819, 0.825, 0.877, 0.768, 0.758, 0.886]","[0.27, 0.209, 0.197, 0.18, 0.177, 0.129, 0.122, 0.115, 0.082, 0.115, 0.209, 0.05, 0.034, 0.27]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral']"
11,250.582,88.0,0,25.0,"[207.92, 212.377, 212.804, 220.779, 226.299, 233.121, 233.472, 244.5, 249.582, 256.202, 244.5, 249.582, 226.299, 233.121, 256.202, 280.29, 212.377, 212.804]","[0.575, 0.566, 0.565, 0.549, 0.538, 0.524, 0.523, 0.501, 0.491, 0.477, 0.501, 0.491, 0.538, 0.524, 0.477, 0.429, 0.566, 0.565]","[0.033, 0.03, 0.028, 0.028, 0.024, 0.024, 0.024, 0.024, 0.023, 0.018, 0.024, 0.023, 0.024, 0.024, 0.018, 0.008, 0.03, 0.028]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
12,503.57,63.0,43.0,32.0,"[456.345, 550.795]","[0.073, -0.118]","[0.006, 0.005]","['neutral', 'neutral']"
13,144.282,97.0,0,24.0,"[102.344, 116.965, 124.949, 133.418, 137.385, 140.472, 140.472, 116.965, 173.732, 102.344]","[0.788, 0.759, 0.743, 0.725, 0.717, 0.711, 0.711, 0.759, 0.644, 0.788]","[0.133, 0.128, 0.106, 0.105, 0.086, 0.082, 0.082, 0.128, 0.048, 0.133]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
14,154.711,96.0,0,25.0,"[110.652, 126.926, 133.454, 138.688, 110.652, 149.528, 183.374, 138.688, 215.862]","[0.772, 0.739, 0.725, 0.715, 0.772, 0.693, 0.624, 0.715, 0.559]","[0.14, 0.14, 0.12, 0.115, 0.14, 0.059, 0.052, 0.115, 0.037]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
15,241.586,89.0,3.0,28.0,"[157.968, 161.578, 194.504, 206.785, 216.14, 221.106, 230.93, 239.451, 242.444, 247.788, 249.5, 255.388, 221.106, 230.93, 194.504, 247.788, 206.785]","[0.676, 0.669, 0.602, 0.577, 0.558, 0.548, 0.528, 0.511, 0.505, 0.494, 0.491, 0.479, 0.548, 0.528, 0.602, 0.494, 0.577]","[0.018, 0.016, 0.016, 0.015, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.011, 0.011, 0.013, 0.013, 0.016, 0.012, 0.015]","['neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']"
16,180.514,95.0,0,28.0,"[154.455, 162.165, 165.754, 179.183, 209.024, 179.183]","[0.683, 0.667, 0.66, 0.633, 0.573, 0.633]","[0.05, 0.04, 0.017, 0.011, 0.009, 0.011]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
17,210.145,91.0,0,27.0,"[144.805, 178.789, 193.436, 193.436, 144.805, 178.789, 250.986]","[0.702, 0.634, 0.604, 0.604, 0.702, 0.634, 0.488]","[0.105, 0.068, 0.062, 0.062, 0.105, 0.068, 0.033]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
18,156.16,96.0,0,24.0,"[125.286, 129.876, 136.033, 136.661, 141.248, 143.716, 143.908, 153.047, 136.033, 136.661, 141.248, 143.716, 143.908]","[0.742, 0.733, 0.72, 0.719, 0.71, 0.705, 0.704, 0.686, 0.72, 0.719, 0.71, 0.705, 0.704]","[0.105, 0.09, 0.073, 0.068, 0.066, 0.047, 0.043, 0.043, 0.073, 0.068, 0.066, 0.047, 0.043]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
19,150.371,98.0,0,25.0,"[95.337, 108.229, 123.737, 130.102, 130.167, 130.692, 130.711, 140.266, 141.707, 143.023, 108.229, 140.266, 141.707, 130.102, 210.577, 95.337]","[0.802, 0.776, 0.745, 0.732, 0.732, 0.731, 0.731, 0.712, 0.709, 0.706, 0.776, 0.712, 0.709, 0.732, 0.569, 0.802]","[0.027, 0.027, 0.027, 0.026, 0.023, 0.022, 0.021, 0.021, 0.019, 0.014, 0.027, 0.021, 0.019, 0.026, 0.004, 0.027]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
20,133.823,99.0,0,26.0,"[94.337, 96.743, 104.133, 104.323, 110.935, 115.562, 115.852, 96.743, 104.133, 115.562, 104.323, 110.935, 94.337, 207.131]","[0.805, 0.8, 0.785, 0.784, 0.771, 0.762, 0.761, 0.8, 0.785, 0.762, 0.784, 0.771, 0.805, 0.576]","[0.046, 0.039, 0.037, 0.036, 0.035, 0.031, 0.03, 0.039, 0.037, 0.031, 0.036, 0.035, 0.046, 0.01]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
21,320.372,81.0,11.0,35.0,"[230.036, 252.517, 284.29, 285.541, 294.328, 296.018, 303.049, 306.29, 314.025, 315.151, 318.764, 320.651, 323.137, 252.517, 314.025, 285.541, 323.137, 294.328, 230.036, 284.29, 428.029]","[0.53, 0.485, 0.42, 0.418, 0.4, 0.397, 0.382, 0.376, 0.36, 0.358, 0.351, 0.347, 0.342, 0.485, 0.36, 0.418, 0.342, 0.4, 0.53, 0.42, 0.13]","[0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.004, 0.003, 0.003, 0.002, 0.003, 0.004, 0.004, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
22,163.88,96.0,0,28.0,"[158.837, 165.238, 167.564]","[0.674, 0.661, 0.656]","[0.077, 0.048, 0.033]","['contradiction', 'neutral', 'neutral']"
23,301.936,83.0,-0.0,30.0,"[275.142, 291.218, 275.142]","[0.439, 0.406, 0.439]","[0.017, 0.015, 0.017]","['neutral', 'neutral', 'neutral']"
24,230.7,89.0,0,24.0,"[157.286, 304.113]","[0.677, 0.38]","[0.085, 0.004]","['neutral', 'neutral']"
25,509.523,62.0,31.0,37.0,"[428.219, 465.909, 467.566, 471.476, 489.245, 490.23, 496.508, 498.372, 490.23, 465.909, 498.372, 526.426, 543.369, 546.128, 467.566, 471.476, 595.146]","[0.129, 0.053, 0.05, 0.042, 0.006, 0.004, -0.009, -0.012, 0.004, 0.053, -0.012, -0.069, -0.103, -0.109, 0.05, 0.042, -0.208]","[0.057, 0.031, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031, 0.0, 0.0, 0.0, 0.0, 0.03, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
26,514.368,61.0,37.0,45.0,"[514.368]","[-0.045]","[0.006]","['neutral']"
27,192.01,92.0,0,24.0,"[148.642, 160.166, 168.923, 169.077, 175.116, 180.153, 194.732, 194.783, 202.588, 194.783, 222.388, 202.588, 175.116]","[0.695, 0.671, 0.654, 0.653, 0.641, 0.631, 0.602, 0.601, 0.586, 0.601, 0.546, 0.586, 0.641]","[0.186, 0.147, 0.129, 0.118, 0.092, 0.062, 0.06, 0.055, 0.042, 0.055, 0.028, 0.042, 0.092]","['neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
28,128.397,99.0,0,30.0,"[115.163, 115.833, 116.021, 125.926, 127.455, 131.992, 133.476, 135.105, 138.125, 115.163]","[0.762, 0.761, 0.761, 0.741, 0.738, 0.728, 0.725, 0.722, 0.716, 0.762]","[0.098, 0.095, 0.094, 0.085, 0.039, 0.036, 0.032, 0.028, 0.015, 0.098]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
29,154.715,97.0,0,21.0,"[109.736, 121.984, 125.322, 128.547, 129.496, 141.32, 150.244, 151.907, 129.496, 141.32, 151.907, 128.547, 189.706, 214.616]","[0.773, 0.749, 0.742, 0.735, 0.733, 0.71, 0.691, 0.688, 0.733, 0.71, 0.688, 0.735, 0.612, 0.561]","[0.104, 0.097, 0.092, 0.077, 0.074, 0.055, 0.054, 0.052, 0.074, 0.055, 0.052, 0.077, 0.012, 0.005]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
30,295.267,83.0,4.0,28.0,"[267.634, 299.505, 318.661]","[0.454, 0.39, 0.351]","[0.057, 0.043, 0.012]","['neutral', 'neutral', 'neutral']"
31,192.277,93.0,0,26.0,"[152.709, 157.203, 174.328, 184.399, 202.673, 174.328, 184.399, 236.107]","[0.686, 0.677, 0.643, 0.622, 0.585, 0.643, 0.622, 0.518]","[0.081, 0.075, 0.067, 0.066, 0.048, 0.067, 0.066, 0.003]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
32,238.657,89.0,0,29.0,"[181.191, 186.868, 187.522, 195.883, 197.043, 197.823, 198.652, 206.181, 186.868, 187.522, 195.883, 197.043, 197.823, 253.432, 260.765, 278.321, 301.739, 307.845, 181.191, 198.652]","[0.629, 0.617, 0.616, 0.599, 0.597, 0.595, 0.594, 0.578, 0.617, 0.616, 0.599, 0.597, 0.595, 0.483, 0.468, 0.432, 0.385, 0.373, 0.629, 0.594]","[0.031, 0.023, 0.022, 0.022, 0.022, 0.022, 0.022, 0.019, 0.023, 0.022, 0.022, 0.022, 0.022, 0.004, 0.004, 0.003, 0.003, 0.003, 0.031, 0.022]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
33,96.458,100,0,31.0,"[84.483, 86.263, 86.971, 84.483]","[0.824, 0.821, 0.819, 0.824]","[0.164, 0.132, 0.116, 0.164]","['neutral', 'neutral', 'neutral', 'neutral']"
34,190.173,92.0,-0.0,27.0,"[157.785, 222.562]","[0.676, 0.545]","[0.159, 0.049]","['neutral', 'neutral']"
35,247.264,88.0,0,27.0,"[215.889, 278.64]","[0.559, 0.432]","[0.075, 0.0]","['neutral', 'neutral']"
36,334.258,79.0,3.0,34.0,"[316.123, 322.856, 326.081, 351.091, 326.081]","[0.356, 0.342, 0.336, 0.285, 0.336]","[0.119, 0.037, 0.012, 0.011, 0.012]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
37,200.206,92.0,0,27.0,"[166.585, 172.698, 179.012, 180.16, 194.753, 197.331, 194.753, 214.73, 166.585, 197.331]","[0.658, 0.646, 0.633, 0.631, 0.601, 0.596, 0.601, 0.561, 0.658, 0.596]","[0.145, 0.119, 0.103, 0.085, 0.066, 0.055, 0.066, 0.023, 0.145, 0.055]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
38,195.506,91.0,0,26.0,"[169.58, 172.249, 175.178, 177.367, 179.837, 186.783, 175.178, 177.367, 179.837, 172.249, 212.342, 224.645, 169.58]","[0.652, 0.647, 0.641, 0.637, 0.632, 0.618, 0.641, 0.637, 0.632, 0.647, 0.566, 0.541, 0.652]","[0.206, 0.186, 0.171, 0.16, 0.156, 0.083, 0.171, 0.16, 0.156, 0.186, 0.056, 0.046, 0.206]","['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
39,273.808,85.0,17.0,39.0,"[273.808]","[0.442]","[0.041]","['neutral']"
40,127.753,98.0,0,23.0,"[69.6, 75.525, 90.366, 94.922, 102.549, 107.18, 110.375, 122.12, 107.18, 110.375, 90.366, 94.922, 102.549, 164.031, 75.525]","[0.855, 0.843, 0.813, 0.803, 0.788, 0.779, 0.772, 0.748, 0.779, 0.772, 0.813, 0.803, 0.788, 0.664, 0.843]","[0.233, 0.231, 0.189, 0.188, 0.179, 0.166, 0.15, 0.145, 0.166, 0.15, 0.189, 0.188, 0.179, 0.052, 0.231]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
41,318.054,81.0,2.0,28.0,"[298.622, 310.409, 345.131]","[0.391, 0.368, 0.297]","[0.029, 0.028, 0.009]","['neutral', 'neutral', 'neutral']"
42,440.668,69.0,18.0,36.0,"[391.55, 395.285, 402.595, 409.632, 409.84, 413.337, 426.969, 436.774, 439.765, 391.55, 436.774, 395.285, 402.595, 409.632, 413.337, 426.969, 481.419, 489.383]","[0.204, 0.196, 0.181, 0.167, 0.167, 0.159, 0.132, 0.112, 0.106, 0.204, 0.112, 0.196, 0.181, 0.167, 0.159, 0.132, 0.022, 0.006]","[0.053, 0.022, 0.021, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.053, 0.015, 0.022, 0.021, 0.017, 0.016, 0.016, 0.002, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
43,140.689,98.0,0,25.0,"[99.484, 114.505, 117.029, 126.354, 126.953, 127.916, 130.509, 135.617, 135.831, 142.428, 117.029, 130.509, 135.617, 135.831]","[0.794, 0.764, 0.759, 0.74, 0.739, 0.737, 0.731, 0.721, 0.721, 0.707, 0.759, 0.731, 0.721, 0.721]","[0.127, 0.117, 0.097, 0.092, 0.088, 0.085, 0.071, 0.068, 0.064, 0.062, 0.097, 0.071, 0.068, 0.064]","['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral']"
44,177.708,95.0,0,27.0,"[116.843, 144.801, 152.639, 165.635, 170.738, 171.243, 181.285, 185.134, 186.175, 186.193, 187.437, 186.175, 187.437, 152.639]","[0.759, 0.702, 0.687, 0.66, 0.65, 0.649, 0.629, 0.621, 0.619, 0.619, 0.616, 0.619, 0.616, 0.687]","[0.053, 0.05, 0.046, 0.045, 0.043, 0.036, 0.034, 0.031, 0.028, 0.022, 0.02, 0.028, 0.02, 0.046]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
45,451.374,68.0,24.0,35.0,"[412.043, 455.213, 486.867]","[0.162, 0.075, 0.011]","[0.007, 0.006, 0.005]","['neutral', 'neutral', 'neutral']"
