#,question_id,pubmed_id,answer,short_answer,mean_distance_a,ARS,hallucination_index,vector_distances,vector_scores,bm25_scores,rerank_sentiments,rerank_sentiments,question,QRS,vector_distances_question,vector_scores_question,bm25_scores_raw,bm25_scores_question,reranked_score,ranks,ground_truth,correctness
0,1,21645374,"Yes, mitochondria actively remodel lace plant leaves during PCD, shown by their dynamic redistribution, clustering with chloroplasts around the nucleus, and altered membrane potential.",yes,106.356,69,0,"[94.559, 101.198, 123.31]","[0.734, 0.712, 0.639]","[1.338, 0.607]","[['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,91,"[153.808, 48.806, 20.132]","[0.746, 0.961, 1.019]","[0, 28.47, 29.29]","[0, 1.424, 1.465]","[0.764, 0.96, 0.221]","[2, 1, 3]",yes,correct
1,2,26852225,"No, adjustment for reporting heterogeneity is not necessary for managing sleep and energy problems among Japanese adults.",no,143.087,57,27,"[109.046, 118.18, 125.229, 126.804, 151.438, 152.755, 157.03, 157.089, 190.209]","[0.686, 0.656, 0.633, 0.628, 0.547, 0.542, 0.528, 0.528, 0.419]","[1.313, 1.301]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Is adjustment for reporting heterogeneity necessary in sleep disorders?,71,"[180.916, 198.871, 199.039, 155.561, 176.42, 194.942, 182.22, 165.223, 82.817]","[0.691, 0.654, 0.654, 0.743, 0.7, 0.662, 0.688, 0.723, 0.891]","[0, 0, 0, 0, 0, 0, 0, 11.36, 13.04]","[0, 0, 0, 0, 0, 0, 0, 0.568, 0.652]","[0.998, 0.998, 0.997, 0.994, 0.991, 0.991, 0.843, 0.997, 0.994]","[1, 2, 4, 6, 7, 8, 9, 3, 5]",no,correct
2,3,17113061,"No, the study found cIMT was nearly identical between low‑HDL mutation carriers and controls, indicating no significant increase.",no,293.693,8,73,"[243.879, 253.428, 253.762, 287.326, 326.435, 397.329]","[0.243, 0.212, 0.211, 0.1, -0.028, -0.261]","[2.386, 0.435]","[['neutral'], ['contradiction'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Do mutations causing low HDL-C promote increased carotid intima-media thickness?,64,"[222.298, 200.015, 239.571, 215.65, 164.306, 194.981]","[0.606, 0.652, 0.571, 0.62, 0.725, 0.662]","[0, 0, 0, 0, 17.25, 24.25]","[0, 0, 0, 0, 0.862, 1.213]","[0.868, 0.789, 0.708, 0.44, 0.405, 0.238]","[1, 2, 3, 4, 5, 6]",no,correct
3,4,25957366,"No, the study found no increase in identification or screening of at‑risk patients after prompting PCPs with family history risk alerts.",no,237.437,26,95,"[156.379, 190.355, 198.697, 246.775, 302.074, 330.342]","[0.53, 0.419, 0.391, 0.233, 0.052, -0.041]","[1.655, 1.227]","[['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,20,"[428.988, 423.714, 429.151, 421.579, 421.225, 389.778, 0, 0]","[0.184, 0.194, 0.183, 0.199, 0.199, 0.264, 0, 0]","[0, 0, 0, 0, 0, 0, 13.04, 13.1]","[0, 0, 0, 0, 0, 0, 0.652, 0.655]","[0.996, 0.994, 0.987, 0.982, 0.359, 0.138, 0.99, 0.34]","[1, 2, 3, 4, 5, 6, 1, 2]",no,correct
4,5,26578404,"Yes, patient‑controlled opioid therapy for breathlessness is a novel, evidence‑based approach in palliative care, with studies demonstrating its safety and efficacy.",yes,204.759,37,71,"[185.06, 224.458]","[0.436, 0.307]",[1.085],"[['neutral'], ['neutral']]",[['neutral']],Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,38,"[431.979, 230.194]","[0.177, 0.59]","[0, 20.3]","[0, 1.015]","[0.755, 0.898]","[2, 1]",yes,correct
5,6,21669959,"Yes, the study shows that low‑income, minority families with smokers are less likely to have total smoking bans, increasing infants’ secondhand smoke exposure and heightening the risk of significant health disparities.",yes,154.933,54,29,"[120.243, 144.043, 167.899, 187.548]","[0.649, 0.571, 0.493, 0.428]","[2.524, 0.706]","[['entailment'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,71,"[164.036, 179.316, 162.245, 187.63, 0, 0]","[0.725, 0.694, 0.729, 0.677, 0, 0]","[0, 0, 0, 0, 16.05, 17.73]","[0, 0, 0, 0, 0.802, 0.886]","[0.67, 0.656, 0.529, 0.521, 0.986, 0.966]","[1, 2, 3, 4, 1, 2]",yes,correct
6,7,23806388,"Yes, the study found that the four BCR‑nomograms (DPC, Kattan postoperative, JHH, CPDR/CaPSURE) predicted prostate‑cancer‑specific mortality and aggressive BCR with higher accuracy than they predicted overall BCR.",yes,177.456,46,34,"[138.807, 151.126, 164.043, 164.117, 178.371, 178.561, 183.438, 187.72, 191.645, 236.731]","[0.588, 0.548, 0.505, 0.505, 0.458, 0.458, 0.442, 0.428, 0.415, 0.266]","[4.325, 1.956, 0.611]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]",Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,73,"[123.166, 148.942, 154.48, 183.276, 179.106, 163.812, 172.551, 198.604, 91.796, 182.768, 0]","[0.809, 0.756, 0.745, 0.686, 0.694, 0.726, 0.708, 0.655, 0.873, 0.687, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 32.36, 31.28, 31.49]","[0, 0, 0, 0, 0, 0, 0, 0, 1.618, 1.564, 1.575]","[0.996, 0.971, 0.938, 0.845, 0.355, 0.298, 0.182, 0.135, 0.991, 0.976, 0.987]","[1, 4, 5, 6, 7, 8, 9, 10, 2, 3, 2]",yes,correct
7,8,17919952,"Yes, reports of mechanical dysfunction in chronic oro‑facial pain are linked to somatisation, as self‑reported factors are confounded by psychological variables and are common across other unexplained syndromes.",yes,121.378,65,18,"[75.099, 89.824, 92.589, 104.098, 116.847, 117.426, 126.542, 133.042, 166.292, 192.02]","[0.798, 0.749, 0.74, 0.702, 0.66, 0.658, 0.629, 0.607, 0.498, 0.413]","[3.035, 1.54]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,73,"[167.292, 186.148, 177.116, 178.541, 143.813, 191.587, 163.688, 196.503, 130.048, 81.513]","[0.719, 0.68, 0.698, 0.696, 0.767, 0.669, 0.726, 0.659, 0.795, 0.894]","[0, 0, 0, 0, 0, 0, 0, 0, 18.32, 20.46]","[0, 0, 0, 0, 0, 0, 0, 0, 0.916, 1.023]","[0.994, 0.988, 0.986, 0.983, 0.982, 0.818, 0.525, 0.136, 0.958, 0.355]","[1, 2, 3, 4, 5, 7, 8, 10, 6, 9]",yes,correct
8,9,10966943,"No, amblyopia is not permanent if treated early; occlusion therapy can improve vision, especially when started between 6 months and 9 years.",no,179.143,46,53,"[132.061, 160.008, 171.544, 204.589, 227.512]","[0.61, 0.519, 0.481, 0.372, 0.297]",[0.46],"[['entailment'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction']]",[['contradiction']],Amblyopia: is visual loss permanent?,50,"[280.021, 293.456, 311.559, 286.952, 189.453]","[0.488, 0.461, 0.424, 0.474, 0.673]","[0, 0, 0, 0, 11.46]","[0, 0, 0, 0, 0.573]","[0.994, 0.88, 0.802, 0.405, 0.985]","[1, 3, 4, 5, 2]",no,correct
9,10,28707539,"Yes, a single‑slice VAT area—particularly 4 cm above the lower margin of L3—shows an r ≈ 0.98 correlation with total VAT volume, indicating it can reliably represent visceral adipose tissue volume.",yes,142.592,58,20,"[124.972, 127.858, 174.945]","[0.634, 0.624, 0.469]","[4.733, 1.825]","[['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,78,"[177.447, 85.031, 145.97]","[0.698, 0.887, 0.762]","[0, 32.07, 21.39]","[0, 1.604, 1.07]","[0.921, 0.959, 0.77]","[2, 1, 3]",yes,correct
10,11,26298839,"Yes, the randomized controlled trial showed significant improvements in voice function and quality of life in the genuine acupuncture group compared to sham and no‑treatment controls.",yes,162.351,51,73,"[134.618, 139.138, 140.596, 141.333, 175.425, 179.975, 189.661, 198.059]","[0.602, 0.587, 0.582, 0.58, 0.468, 0.453, 0.421, 0.394]","[1.627, 0.859, 0.073]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['entailment'], ['entailment'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]",Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,21,"[465.262, 385.344, 439.314, 432.122, 462.589, 322.877, 322.877, 458.524, 0, 0, 0]","[0.109, 0.273, 0.162, 0.177, 0.115, 0.4, 0.4, 0.123, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 14.87, 15.31, 14.47]","[0, 0, 0, 0, 0, 0, 0, 0, 0.743, 0.766, 0.724]","[0.974, 0.971, 0.936, 0.931, 0.923, 0.697, 0.697, 0.26, 0.991, 0.863, 0.114]","[1, 2, 3, 4, 5, 7, 8, 9, 1, 2, 3]",yes,correct
11,12,19054501,"Yes, studies suggest motion perception deficits in schizophrenia arise from impaired extraretinal motion processing linked to abnormal smooth pursuit, indicating the deficits are largely a consequence of eye‑tracking abnormalities.",yes,73.966,80,0,"[57.205, 59.303, 68.099, 68.22, 72.2, 81.278, 83.79, 101.632]","[0.856, 0.849, 0.821, 0.82, 0.807, 0.777, 0.769, 0.71]","[1.835, 1.835, 1.835, 0.751, 0.751, 0.751]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction']]","[['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction']]",Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,86,"[93.955, 98.787, 105.824, 112.868, 83.626, 105.611, 100.571, 75.655]","[0.868, 0.859, 0.844, 0.83, 0.89, 0.845, 0.855, 0.906]","[0, 0, 0, 0, 0, 0, 17.7, 21.84]","[0, 0, 0, 0, 0, 0, 0.885, 1.092]","[0.935, 0.855, 0.355, 0.335, 0.125, 0.117, 0.993, 0.991]","[3, 4, 5, 6, 7, 8, 1, 2]",yes,correct
