pubmed_id,questions
67fc20ee18b1e36f2e00012a,Do glioblastoma tumors have a high degree of lymphocyte infiltration?
67ed650c18b1e36f2e0000fe,Has any single infectious agent been identified as the cause of irritable bowel syndrome?
67daf71018b1e36f2e000057,Is pollinosis another name for allergies to tree or grass pollen?
67d4903418b1e36f2e000018,Which gene shapes the 3D enhancer network of the developing T cell genome?
67f6f14118b1e36f2e000100,Do mesenchymal-like glioblastoma cells show increased immune evasion?
67fc546c18b1e36f2e000130,Has Antibiotic use induced hiccups?
67d6c10618b1e36f2e000027,Is the use of surfactant restricted to neonatology?
67d497c418b1e36f2e00001a,What's the effect of liver RBFOX2?
67da131f18b1e36f2e000053,Is there a shift in the cell states of glioblastoma during recurrence?
67f8ea8318b1e36f2e000107,What is the difference in action between fomoterol and salmeterol?
67d7fe1718b1e36f2e000043,Vector of dengue infection.
67dedd6818b1e36f2e000061,Which ensemble machine-learning framework has been developed harnessing UK biobank data?
67fd5d6e18b1e36f2e000139,What is a frequently lost chromosomal region in secondary glioblastoma?
67fc2f7818b1e36f2e00012c,Does PTEN loss in GBM contribute to resistance against immunotherapy?
67cf221a81b1027333000022,What tissue would be used to derive  Wharton's Jelly Mesenchymal Stem Cells?
67e5557c18b1e36f2e0000ac,What is the target of fezolinetant?
67cdc78381b102733300001a,What age group is commonly affected by biliary atresia?
680a078618b1e36f2e000146,Are microglia derived from the same lineage as peripheral macrophages?
680a21eb18b1e36f2e000150,What glial cells are responsible for myelination in the CNS?
67e270d318b1e36f2e000075,Most common infectious cause of congenital deafness.
67fe5f0918b1e36f2e000144,What is the previous acronym for Metabolic Dysfunction-Associated Steatotic Liver Diasease  (MASLD)?
6810c27b353a4a2e6b000010,Can sertraline be used in children under 10?
67e1356018b1e36f2e000070,Where in the body would the  sublci and gyri be found?
67fce47a18b1e36f2e000136,Does neuroblastoma share mesenchymal-like transcriptional programs with triple-negative breast cancer (TNBC)?
67e7df6118b1e36f2e0000d8,Which database serves as a catalogue of full-length 16S rRNA gene sequences from bacteria in wastewater treatment plants?
67e7db2918b1e36f2e0000d6,What is currently the number of germline associations with clonal hematopoiesis in European-ancestry populations?
67c9e7ee81b1027333000007,Is Peto's Paradox associated with cancer rates?
67fbe2ab18b1e36f2e000116,Do hyaluronic acid injections improve knee pain?
67eb822e18b1e36f2e0000f1,What is a characteristic family of enzymes that are responsible for DNA demethylation?
67df1a1d18b1e36f2e000065,Which missense variant in SPDL1 is associated with IPF?
680fe1e3353a4a2e6b00000f,Is a single-nucleotide polymorphism (SNP) the same as a mutation?
680a07f918b1e36f2e00014a,What organelle is responsible for ATP production?
67e6d06918b1e36f2e0000d2,Can Galcanezumab be used for Vestibular Migraine?
67d4161318b1e36f2e00000a,Does nucleosomal DNA have topological memory?
67c7708481b1027333000002,Is mucopolysaccharidosis-plus syndrome (MPSPS) a X-linked disease?
6810fef8353a4a2e6b000016,What complication of pregnancy was treated with  Diethylstilbestrol
67e56b5418b1e36f2e0000ad,What is the target of Abelacimab?
67e014c918b1e36f2e000068,What is the mode of action of Bempedoic acid?
67e6ce6e18b1e36f2e0000cf,How many primary genetic associations were identified through pQTL mapping within the Pharma Proteomics Project?
67cc9bef81b1027333000013,What is DRESS in the context of drug therapy?
67e6cd6a18b1e36f2e0000ce,Is Luvadaxistat effective for Friedreich's Ataxia?
67eb817c18b1e36f2e0000f0,What is the median survival time for glioblastoma patients with standard treatment?
67c9e84181b1027333000008,What cellular process is Listeriolysin associated with?
67cde99581b102733300001f,Can stem cell therapies be used to treat xerostomia
67d45d5818b1e36f2e000012,In which population has it been described an association between the CUBN gene and T2DM genetic susceptibility?
67cdbdb981b1027333000018,What tissue is the origin of adnexal masses.
67d41b8518b1e36f2e00000d,Is there any role between AGRN and Myasthenia gravis?
