qid,domain,question_key,question,for_testing
1,Pediatric populations,Peds_GeneralData,"Does the policy document include any general mention of pediatric populations, and does it describe any pediatric_related data such as the number of children with cancer, most common diagnoses, survival rates, causes of treatment failure, or whether the data come from national or international sources? Start your answer with 'Yes' and provide a short summary. If not, answer 'No.' Additional keywords related to pediatrics: child*, adol*, pedia*, paed*, youth, young*, teen*, infan*, minor*, school*.",no
2,Pediatric populations,Peds_NCDs,"Does the policy mention pediatric populations in the context of noncommunicable diseases, and does it describe any related issues affecting children or adolescents? Start your answer with 'Yes' and provide a short summary. If not, answer 'No.' Additional keywords related to noncommunicable disease and issues affecting children or adolescents: 'non-communicable disease*', NCD, 'health* behav*, dieta*, 'risk* factor*', 'health promot*', 'physical *activ*', overweight, exercise*, sedentary, eating, alcohol*, obesity. ",no
3,Pediatric populations,Peds_Prevention,"Does the policy mention pediatric or adolescent populations as a target group for interventions to prevent cancers in adulthood related to virus, immuni*, vaccin*, papillomavirus, HPV, HBV, hepatitis, infection*, sun protect*, sunscreen, sun exposure, tanning, UV rays, UV radiation, ultraviolet, tobacco, cigar*, e-cig*, smok*, vaping, substance* use? Start your answer with 'Yes' and provide a short summary. If not, answer 'No.'",no
4,Pediatric populations,Peds_CancerTypes,"Does the policy mention childhood cancer types such as wilm*, retinoblastoma, glioma*, neuroblast*, embryonal tumors, Burkitt lymphoma, lymphoma, leukemia, *sarcoma, rhabdo*, bone tumors, Ewing, brain tumors, ALL, spinal cord tumors, or medulloblastoma? Check whether anything specific to age, range, years, or mentions of infant, school, or minor is included to validate that the cancer is primarily pediatric. Start your answer with 'Yes' and provide a short summary. If not, answer 'No.'",no
5,Pediatric populations,Adol_CancerTypes,"Does the policy mention cancers common in teenagers such as lymphoma, leukemia, ALL, thyroid cancer, *sarcoma, bone tumors, Ewing, Hodgkin lymphoma, testic*, ovar*, brain tumors, spinal cord tumors, or germ_cell tumors? Check whether anything specific to age, range, years, or mentions of teen, youth, school, college, or university is included to validate that the cancer is primarily in adolescents. Start your answer with 'Yes' and provide a short summary. If not, answer 'No.'",no
6,Pediatric populations,Peds_GeneralData,"Does the policy document include any general mention of pediatric populations, and does it describe any pediatric_related data such as the number of children with cancer, most common diagnoses, survival rates, causes of treatment failure, or whether the data come from national or international sources? Start your answer with 'Yes' and provide a short summary. If not, answer 'No.'",yes
7,Pediatric populations,Peds_NCDs,"Does the policy mention pediatric or adolescent populations as a target group for interventions to prevent cancers in adulthood related to sun exposure, vaccination, tobacco, or substance use? Start your answer with 'Yes' and provide a short summary. If not, answer 'No.'",yes
8,Pediatric populations,Peds_Prevention,"Does the policy mention pediatric or adolescent populations as a target group for interventions to prevent cancers in adulthood related to sun exposure, vaccination, tobacco, or substance use? Start your answer with “Yes” and provide a short summary. If not, answer “No.”",yes
9,Pediatric populations,Peds_CancerTypes,"Does the policy mention childhood cancer types? Check whether anything specific to age, range, years, or mentions of infant, school, or minor is included to validate that the cancer is primarily pediatric. Start your answer with 'Yes' and provide a short summary. If not, answer 'No.'",yes
10,Pediatric populations,Adol_CancerTypes," Does the policy mention cancers common in teenagers? Check whether anything specific to age, range, years, or mentions of teen, youth, school, college, or university is included to validate that the cancer is primarily in adolescents. Start your answer with 'Yes' and provide a short summary. If not, answer 'No.'",yes
11,Cancer program,CancerProgram_Fund,"Does the policy describe the existence of a national cancer program that is staffed and government_funded, and does it include any information about its budget, planning processes, implementation capacity, or evidence of its impact? Start your answer with 'Yes' and provide a short summary. If not, answer 'No.'",no
12,MRI,MRI_Mention,"Is Magnetic Resonance Imaging (MRI) mentioned in the policy? If so, start your answer with 'Yes' and provide a short summary. If not, answer 'No'.",no
13,MRI,MRI_CancerContext,"Is Magnetic Resonance Imaging (MRI) mentioned in the policy? If yes, is it mentioned in the context of cancer, and note if specifically, childhood cancer, including a description of the current status. Start your answer with 'Yes' and provide a short summary. If not, answer 'No'.",no
