#,question_id,pubmed_id,answer,question,ground_truth
0,1,2404.00822v2,"Higher effective death (λ) lowers mean infectivity (µx).   α̂ and β̂ are inversely tied to λ’s variability:    * α̂ = 1/(relative variance of λ) – grows when λ is more homogeneous, shrinks when λ varies more.   * β̂ = 1/(coefficient‑of‑variation of λ)² – likewise decreases with greater λ heterogeneity.    Thus, a larger μλ (faster death) reduces µx and, through the dependence on μλ and its variance, drives both α̂ and β̂ downward. Increased variance vλ (more heterogeneity) also drives α̂ and β̂ down.",How do changes in effective microbial death rate influence parameters like alpha and beta?,"Increases in heterogeneity related to effective microbial death rates lead to decreases in both alpha and beta parameters. Conversely, increasing expectations for these rates results in higher values for alpha and beta, indicating their sensitivity to changes in underlying biological conditions."
1,2,2411.14884v3,"Uncertainty in the data matrix \(Q\) makes a standard quadratic optimisation (StQP) highly sensitive: small perturbations can change the optimal value or solution dramatically, and the problem remains NP‑hard.  Consequently, practitioners adopt robust or distributionally‑robust formulations that bound the worst‑case objective over an uncertainty set for \(Q\).  These approaches trade off optimality for guaranteed performance under data ambiguity.",How does uncertainty in data affect standard quadratic optimization problems?,"Uncertainty in data affects StQPs by introducing variability in the matrix used for calculations. This uncertainty can be managed through robust optimization techniques, where an uncertainty set encapsulates all known information about uncertain parameters. The decision-maker must ensure that these parameters remain within this set to avoid violations."
2,3,2406.17972v3,"Incorporating demographics (gender, ethnicity, region, etc.) lets the LLM capture heterogeneity in career paths, improving accuracy. The study shows that adding these covariates boosts predictive performance, especially when combined with at least ten years of history, and that omitting them degrades results. Thus, demographic features help the model learn systematic differences in transition probabilities and reduce omitted‑variable bias.",How does incorporating demographic factors influence job transition predictions using LLMs?,"Incorporating demographic factors such as gender, ethnicity, and region enhances job transition predictions by providing additional context that influences career paths. These variables help refine the model's understanding of individual differences in occupational trajectories, leading to more accurate forecasts."
3,4,2412.10128v2,"Traditional feature‑selection for classification uses the whole training set (all classes) to rank or weight features. Methods such as filter scores (e.g., mutual information, chi‑square), wrapper approaches (recursive feature elimination, sequential forward/backward selection), or embedded techniques (LASSO, elastic‑net, tree‑based importance) evaluate each feature’s relevance to the overall classification task. They typically optimize a global loss (e.g., margin‑maximizing SVM loss) or a regularized objective, treating all classes jointly and ignoring class‑specific structure.",How do traditional feature selection methods for classification work?,"Traditional feature selection methods for classification typically use data from all classes to select features that are relevant across different classes, rather than focusing on individual class-specific features."
4,5,2412.15239v2,Expectations are the mean of each feature across all imagined continuations for a chapter.   \[ E[\text{z}_{it}] = \frac{1}{N}\sum_{n=1}^{N}\text{z}_{it}^{(n)} \]   where \(N\) is the number of generated continuations and \(\text{z}_{it}^{(n)}\) is the feature value in continuation \(n\).,How are expectations calculated in the narrative framework?,Expectations are calculated as the mean of each feature across all imagined continuations for a given chapter.
5,6,2403.18677v2,"Yes. The blue‑laser repulsion pushes the atoms out of the high‑intensity region, shifting the equilibrium position by roughly one beam waist along x. This reduces the blue intensity at the new equilibrium (≈ e⁻²) and lengthens the trap lifetime.",Does the repulsive potential affect the equilibrium position of atoms in the trap?,Yes.
6,7,2412.06611v2,"Second‑order smoothness is enforced by adding a penalty on the second‑derivative (curvature) of the solution:    \[ f_\lambda(s)=\|Ds-T\|^2+\lambda\|D_2s\|^2, \]  where \(D_2\) is a second‑order difference operator (discrete Laplacian). This term penalizes large second derivatives, forcing the solution to vary smoothly.",How is second-order smoothness achieved in Tikhonov regularization?,"Second-order smoothness is achieved by using a second-order difference operator, which penalizes large second derivatives to enforce smooth curvature."
7,8,2411.13384v2,The Clayton copula shows strong dependence in the **left tail** (low‐value extremes).,Does the Clayton copula exhibit dependency in the left or right tail?,The Clayton copula exhibits significant dependency in the left tail.
8,9,2409.01631v3,"Gaussian‑like (even, symmetric) shape.",What is the shape of the Doppler spectrum for mobile antenna motion perpendicular to the mean scattering direction?,The Doppler spectrum exhibits a Gaussian shape for mobile antenna motion perpendicular to the mean scattering direction.
9,10,2412.11130v5,No – the conjecture does **not** exclude singular points of ∂Im[ln ζ(s)(s−1)]/∂t.,Does the conjecture exclude singular points of a specific expression?,"No, this conjecture does not exclude singular points of $\frac{\partial \Im[\ln (\zeta(s)(s-1))]}{\partial t}$."
