#,question_id,pubmed_id,answer,question,ground_truth,QID,pubmed_id,mean_distance_a,ARS,hallucination_index,vector_distances,vector_scores,bm25_scores,rerank_sentiments,question_id_context,question_context,QRS,vector_distances_context,vector_scores_context,bm25_scores_raw,bm25_scores_context,reranked_score,ranks,correctness_label,comment
0,1,2404.00822v2,"Higher effective death (λ) lowers mean infectivity (µx).   α̂ and β̂ are inversely tied to λ’s variability:    * α̂ = 1/(relative variance of λ) – grows when λ is more homogeneous, shrinks when λ varies more.   * β̂ = 1/(coefficient‑of‑variation of λ)² – likewise decreases with greater λ heterogeneity.    Thus, a larger μλ (faster death) reduces µx and, through the dependence on μλ and its variance, drives both α̂ and β̂ downward. Increased variance vλ (more heterogeneity) also drives α̂ and β̂ down.",How do changes in effective microbial death rate influence parameters like alpha and beta?,"Increases in heterogeneity related to effective microbial death rates lead to decreases in both alpha and beta parameters. Conversely, increasing expectations for these rates results in higher values for alpha and beta, indicating their sensitivity to changes in underlying biological conditions.",1,2404.00822v2,213.215,34,53,"[106.984, 159.259, 159.346, 159.524, 160.879, 106.984, 159.259, 159.346, 159.524, 160.879]","[0.693, 0.521, 0.521, 0.52, 0.516, 0.693, 0.521, 0.521, 0.52, 0.516]","[0.488, 0.471, 0.342, 0.29, 0.276, 0.488, 0.471, 0.342, 0.29, 0.276]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",1,How do changes in effective microbial death rate influence parameters like alpha and beta?,62,"[196.652, 252.703, 215.101, 180.157, 242.637, 0, 0, 0, 0, 0]","[0.659, 0.544, 0.621, 0.692, 0.565, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 9.02, 7.37, 8.46, 6.81, 10.05]","[0, 0, 0, 0, 0, 0.451, 0.368, 0.423, 0.34, 0.502]","[0.993, 0.983, 0.981, 0.735, 0.2, 0.987, 0.98, 0.831, 0.511, 0.37]","[1, 2, 3, 4, 5, 1, 2, 3, 4, 5]",Correct,"According to the ground truth, increasing the expected death rate actually raises α and β, which is not in the answer, but still correct."
1,2,2411.14884v3,"Uncertainty in the data matrix \(Q\) makes a standard quadratic optimisation (StQP) highly sensitive: small perturbations can change the optimal value or solution dramatically, and the problem remains NP‑hard.  Consequently, practitioners adopt robust or distributionally‑robust formulations that bound the worst‑case objective over an uncertainty set for \(Q\).  These approaches trade off optimality for guaranteed performance under data ambiguity.",How does uncertainty in data affect standard quadratic optimization problems?,"Uncertainty in data affects StQPs by introducing variability in the matrix used for calculations. This uncertainty can be managed through robust optimization techniques, where an uncertainty set encapsulates all known information about uncertain parameters. The decision-maker must ensure that these parameters remain within this set to avoid violations.",2,2411.14884v3,206.445,37,55,"[157.783, 179.083, 190.909, 198.909, 207.249, 157.783, 179.083, 198.909]","[0.526, 0.456, 0.417, 0.391, 0.363, 0.526, 0.456, 0.391]","[0.425, 0.37, 0.3, 0.244, 0.221, 0.425, 0.37, 0.244]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",2,How does uncertainty in data affect standard quadratic optimization problems?,57,"[228.722, 245.699, 252.185, 251.461, 216.216, 0, 0, 0]","[0.593, 0.558, 0.545, 0.546, 0.619, 0, 0, 0]","[0, 0, 0, 0, 9.37, 6.89, 6.35, 6.83]","[0, 0, 0, 0, 0.468, 0.344, 0.318, 0.342]","[0.975, 0.862, 0.487, 0.328, 0.117, 0.986, 0.425, 0.223]","[1, 2, 3, 4, 5, 1, 2, 4]",Correct,
2,3,2406.17972v3,"Incorporating demographics (gender, ethnicity, region, etc.) lets the LLM capture heterogeneity in career paths, improving accuracy. The study shows that adding these covariates boosts predictive performance, especially when combined with at least ten years of history, and that omitting them degrades results. Thus, demographic features help the model learn systematic differences in transition probabilities and reduce omitted‑variable bias.",How does incorporating demographic factors influence job transition predictions using LLMs?,"Incorporating demographic factors such as gender, ethnicity, and region enhances job transition predictions by providing additional context that influences career paths. These variables help refine the model's understanding of individual differences in occupational trajectories, leading to more accurate forecasts.",3,2406.17972v3,177.393,46,45,"[125.373, 148.879, 150.875, 161.046, 174.861, 177.05, 181.057, 186.942, 189.046, 125.373, 189.046, 150.875]","[0.632, 0.555, 0.549, 0.515, 0.47, 0.463, 0.449, 0.43, 0.423, 0.632, 0.423, 0.549]","[0.458, 0.338, 0.257, 0.226, 0.199, 0.188, 0.188, 0.169, 0.146, 0.458, 0.146, 0.257]","['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']",3,How does incorporating demographic factors influence job transition predictions using LLMs?,60,"[228.093, 239.73, 229.034, 243.496, 242.947, 218.741, 213.988, 169.54, 224.364, 0, 0, 0]","[0.594, 0.57, 0.592, 0.563, 0.564, 0.613, 0.623, 0.714, 0.602, 0, 0, 0]","[0, 0, 0, 0, 0, 8.67, 14.93, 11.78, 10.42, 8.45, 7.75, 8.67]","[0, 0, 0, 0, 0, 0.433, 0.747, 0.589, 0.521, 0.422, 0.388, 0.433]","[0.988, 0.977, 0.909, 0.49, 0.296, 0.997, 0.996, 0.994, 0.966, 0.981, 0.943, 0.18]","[4, 5, 7, 8, 9, 1, 2, 3, 6, 4, 6, 7]",Correct,
3,4,2412.10128v2,"Traditional feature‑selection for classification uses the whole training set (all classes) to rank or weight features. Methods such as filter scores (e.g., mutual information, chi‑square), wrapper approaches (recursive feature elimination, sequential forward/backward selection), or embedded techniques (LASSO, elastic‑net, tree‑based importance) evaluate each feature’s relevance to the overall classification task. They typically optimize a global loss (e.g., margin‑maximizing SVM loss) or a regularized objective, treating all classes jointly and ignoring class‑specific structure.",How do traditional feature selection methods for classification work?,"Traditional feature selection methods for classification typically use data from all classes to select features that are relevant across different classes, rather than focusing on individual class-specific features.",4,2412.10128v2,153.573,54,36,"[117.818, 161.559, 117.818]","[0.657, 0.513, 0.657]","[0.209, 0.183, 0.209]","['neutral', 'contradiction', 'neutral']",4,How do traditional feature selection methods for classification work?,63,"[258.635, 165.816, 0]","[0.532, 0.722, 0]","[0, 10.14, 9.49]","[0, 0.507, 0.475]","[0.975, 0.993, 0.747]","[2, 1, 2]",Correct,
4,5,2412.15239v2,Expectations are the mean of each feature across all imagined continuations for a chapter.   \[ E[\text{z}_{it}] = \frac{1}{N}\sum_{n=1}^{N}\text{z}_{it}^{(n)} \]   where \(N\) is the number of generated continuations and \(\text{z}_{it}^{(n)}\) is the feature value in continuation \(n\).,How are expectations calculated in the narrative framework?,Expectations are calculated as the mean of each feature across all imagined continuations for a given chapter.,5,2412.15239v2,318.12,0,81,"[200.633, 308.276, 308.684, 316.977, 318.551, 330.466, 331.886, 334.841, 342.484, 318.551, 334.841]","[0.385, 0.031, 0.03, 0.003, -0.002, -0.042, -0.046, -0.056, -0.081, -0.002, -0.056]","[0.358, 0.225, 0.167, 0.113, 0.101, 0.093, 0.078, 0.033, 0.032, 0.101, 0.033]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",5,How are expectations calculated in the narrative framework?,63,"[200.629, 208.979, 221.773, 226.837, 217.286, 228.97, 191.039, 191.656, 187.712, 0, 0]","[0.65, 0.633, 0.607, 0.597, 0.616, 0.592, 0.67, 0.669, 0.677, 0, 0]","[0, 0, 0, 5.67, 8.62, 5.88, 8.59, 7.27, 7.79, 5.63, 6.67]","[0, 0, 0, 0.283, 0.431, 0.294, 0.429, 0.364, 0.39, 0.282, 0.334]","[0.678, 0.595, 0.154, 0.994, 0.978, 0.641, 0.486, 0.349, 0.195, 0.987, 0.206]","[3, 5, 9, 1, 2, 4, 6, 7, 8, 2, 7]",Correct,
5,6,2403.18677v2,"Yes. The blue‑laser repulsion pushes the atoms out of the high‑intensity region, shifting the equilibrium position by roughly one beam waist along x. This reduces the blue intensity at the new equilibrium (≈ e⁻²) and lengthens the trap lifetime.",Does the repulsive potential affect the equilibrium position of atoms in the trap?,Yes.,6,2403.18677v2,198.633,39,51,"[116.598, 175.715, 116.598, 289.08]","[0.661, 0.467, 0.661, 0.094]","[0.496, 0.14, 0.496, 0.007]","['neutral', 'neutral', 'neutral', 'neutral']",6,Does the repulsive potential affect the equilibrium position of atoms in the trap?,60,"[224.391, 229.226, 0, 0]","[0.602, 0.592, 0, 0]","[15.12, 11.7, 7.51, 6.71]","[0.756, 0.585, 0.376, 0.336]","[0.982, 0.441, 0.863, 0.6]","[1, 2, 1, 3]",Correct,
6,7,2412.06611v2,"Second‑order smoothness is enforced by adding a penalty on the second‑derivative (curvature) of the solution:    \[ f_\lambda(s)=\|Ds-T\|^2+\lambda\|D_2s\|^2, \]  where \(D_2\) is a second‑order difference operator (discrete Laplacian). This term penalizes large second derivatives, forcing the solution to vary smoothly.",How is second-order smoothness achieved in Tikhonov regularization?,"Second-order smoothness is achieved by using a second-order difference operator, which penalizes large second derivatives to enforce smooth curvature.",7,2412.06611v2,286.357,10,79,"[169.735, 255.407, 261.478, 281.009, 283.294, 169.735, 255.407, 261.478, 281.009, 0]","[0.487, 0.205, 0.185, 0.121, 0.113, 0.487, 0.205, 0.185, 0.121, 0]","[0.878, 0.48, 0.227, 0.141, 0.023, 0.878, 0.48, 0.227, 0.141, 0.01]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",7,How is second-order smoothness achieved in Tikhonov regularization?,55,"[284.847, 274.81, 273.046, 269.242, 157.557, 0, 0, 0, 0, 0]","[0.478, 0.499, 0.502, 0.51, 0.738, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 14.7, 5.24, 5.67, 10.24, 5.1, 5.75]","[0, 0, 0, 0, 0.735, 0.262, 0.283, 0.512, 0.255, 0.288]","[0.978, 0.947, 0.648, 0.393, 0.993, 0.976, 0.963, 0.935, 0.771, 0.222]","[2, 3, 4, 5, 1, 2, 3, 4, 5, 6]",Correct,
7,8,2411.13384v2,The Clayton copula shows strong dependence in the **left tail** (low‐value extremes).,Does the Clayton copula exhibit dependency in the left or right tail?,The Clayton copula exhibits significant dependency in the left tail.,8,2411.13384v2,225.735,30,59,"[132.815, 189.784, 226.016, 245.506, 258.774, 260.311, 266.936, 0, 266.936, 0, 189.784, 226.016, 0]","[0.608, 0.421, 0.302, 0.238, 0.194, 0.189, 0.167, 0, 0.167, 0, 0.421, 0.302, 0]","[0.199, 0.183, 0.121, 0.105, 0.058, 0.052, 0.047, 0.044, 0.047, 0.044, 0.183, 0.121, 0.003]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']",8,Does the Clayton copula exhibit dependency in the left or right tail?,59,"[276.105, 247.658, 279.392, 152.117, 245.014, 177.426, 214.867, 230.067, 0, 0, 0, 0, 0]","[0.496, 0.554, 0.489, 0.75, 0.56, 0.698, 0.621, 0.59, 0, 0, 0, 0, 0]","[0, 0, 0, 21.92, 14.37, 12.93, 7.09, 12.33, 9.58, 9.03, 9.96, 6.5, 6.93]","[0, 0, 0, 1.096, 0.719, 0.646, 0.354, 0.617, 0.479, 0.451, 0.498, 0.325, 0.347]","[0.989, 0.822, 0.132, 0.996, 0.995, 0.992, 0.991, 0.981, 0.989, 0.937, 0.675, 0.473, 0.165]","[5, 7, 8, 1, 2, 3, 4, 6, 4, 6, 7, 8, 10]",Correct,
8,9,2409.01631v3,"Gaussian‑like (even, symmetric) shape.",What is the shape of the Doppler spectrum for mobile antenna motion perpendicular to the mean scattering direction?,The Doppler spectrum exhibits a Gaussian shape for mobile antenna motion perpendicular to the mean scattering direction.,9,2409.01631v3,393.928,0,77,"[359.951, 379.126, 396.135, 410.534, 423.892]","[-0.138, -0.201, -0.257, -0.305, -0.349]","[0.043, 0.033, 0.02, 0.017, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",9,What is the shape of the Doppler spectrum for mobile antenna motion perpendicular to the mean scattering direction?,68,"[233.542, 160.413, 147.479, 169.414, 219.202]","[0.583, 0.733, 0.759, 0.714, 0.612]","[18.75, 26.34, 25.28, 22.19, 14.85]","[0.938, 1.317, 1.264, 1.11, 0.742]","[0.995, 0.99, 0.988, 0.98, 0.184]","[1, 2, 3, 4, 5]",Correct,
9,10,2412.11130v5,No – the conjecture does **not** exclude singular points of ∂Im[ln ζ(s)(s−1)]/∂t.,Does the conjecture exclude singular points of a specific expression?,"No, this conjecture does not exclude singular points of $\frac{\partial \Im[\ln (\zeta(s)(s-1))]}{\partial t}$.",10,2412.11130v5,263.709,18,78,"[170.536, 198.835, 225.669, 239.127, 252.022, 255.496, 257.224, 258.261, 266.833, 170.536, 198.835, 225.669, 239.127, 252.022, 255.496, 257.224]","[0.484, 0.391, 0.303, 0.259, 0.216, 0.205, 0.199, 0.196, 0.168, 0.484, 0.391, 0.303, 0.259, 0.216, 0.205, 0.199]","[0.171, 0.121, 0.111, 0.065, 0.059, 0.056, 0.051, 0.051, 0.039, 0.171, 0.121, 0.111, 0.065, 0.059, 0.056, 0.051]","['neutral', 'neutral', 'entailment', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction', 'neutral', 'neutral', 'neutral']",10,Does the conjecture exclude singular points of a specific expression?,48,"[273.224, 297.047, 287.992, 295.372, 283.776, 277.633, 258.074, 293.413, 281.722, 0, 0, 0, 0, 0, 0, 0]","[0.502, 0.453, 0.472, 0.457, 0.48, 0.493, 0.533, 0.461, 0.485, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 11.24, 7.81, 5.15, 6.05, 6.37, 6.24, 6.03]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.562, 0.39, 0.258, 0.302, 0.318, 0.312, 0.302]","[0.996, 0.994, 0.989, 0.957, 0.956, 0.952, 0.865, 0.182, 0.124, 0.997, 0.997, 0.994, 0.978, 0.912, 0.891, 0.255]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7]",Correct,
