question_id,pubmed_id,dataset,question,answer,ground_truth
1,21645374,PubmedQA,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,"Yes, mitochondria actively remodel lace plant leaves during PCD, shown by their dynamic redistribution, clustering with chloroplasts around the nucleus, and altered membrane potential.",yes
12,19054501,PubmedQA,Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,"Yes, studies suggest motion perception deficits in schizophrenia arise from impaired extraretinal motion processing linked to abnormal smooth pursuit, indicating the deficits are largely a consequence of eye‑tracking abnormalities.",yes
38,23497210,PubmedQA,Are women with major depression in pregnancy identifiable in population health data?,"Yes, women with major depression in pregnancy can be identified in population health data, but identification is incomplete. Only about 13.6 % of cases appear in both PBS dispensing and HMDS hospital records, and capture‑recapture estimates suggest ~15 % prevalence, indicating many cases are missed in either dataset alone.",no
45,28127977,PubmedQA,Are serum leptin levels a prognostic factor in advanced lung cancer?,"No, serum leptin levels are not a prognostic factor in advanced lung cancer.",no
46,22428608,PubmedQA,Would corrected QT dispersion predict left ventricular hypertrophy in hypertensive patients?,"Yes, QTcD predicts LVH in hypertensives.",yes
48,22758782,PubmedQA,"Regional anesthesia as compared with general anesthesia for surgery in geriatric patients with hip fracture: does it decrease morbidity, mortality, and health care costs?","No, regional anesthesia does not reduce morbidity, mortality, or healthcare costs compared with general anesthesia in geriatric hip‑fracture surgery.",no
68,9767546,PubmedQA,Autoxidation products of both carbohydrates and lipids are increased in uremic plasma: is there oxidative stress in uremia?,"Yes, the elevated pentosidine, MDA‑lysine and CML in uremic plasma show increased oxidative stress, reflecting a broad derangement in non‑enzymatic carbohydrate and lipid autoxidation.",yes
70,24809662,PubmedQA,Does concomitant anterior/apical repair during midurethral sling improve the overactive bladder component of mixed incontinence?,"No, concomitant anterior/apical repair does not provide additional improvement in the overactive bladder component beyond what is achieved with a midurethral sling alone.",no
73,20382292,PubmedQA,"Knee extensor strength, dynamic stability, and functional ambulation: are they related in Parkinson's disease?","Yes, knee extensor strength is positively correlated with dynamic stability, and dynamic stability is positively correlated with functional ambulation in Parkinson’s disease; however, knee extensor strength itself does not directly predict functional ambulation.",yes
90,26113007,PubmedQA,Is arch form influenced by sagittal molar relationship or Bolton tooth-size discrepancy?,"No, arch form is independent of sagittal molar relationship and Bolton tooth‑size discrepancy.",no
123,25417760,PubmedQA,Risk factors for major depression during midlife among a community sample of women with and without prior major depression: are they the same or different?,"Yes, they differ. Perimenopause/post‑menopause raises recurrence risk but not first‑onset; hormone levels are not linked. Prior anxiety, life events, and other psychosocial factors predict first‑onset.",no
134,23949294,PubmedQA,Treatment as prevention in resource-limited settings: is it feasible to maintain HIV viral load suppression over time?,"Yes, the study shows >90% of patients had VL <200 copies/mL, half were suppressed on first‑line ART, and only 16% required third‑line drugs, indicating feasibility of long‑term viral load suppression in resource‑limited settings.",yes
140,19142546,PubmedQA,Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?,"No, quantitative left‑ventricular regional wall motion does not change after fibrous tissue resection in endomyocardial fibrosis.",no
143,27050505,PubmedQA,Does angiotensin-converting enzyme-1 (ACE-1) gene polymorphism lead to chronic kidney disease among hypertensive patients?,"Yes, the ACE‑1 DD genotype is linked to higher chronic kidney disease risk in hypertensive patients.",yes
