question_id,pubmed_id,dataset,answer,short answer,vector_distances_a,vector_scores_a,bm25_scores_a,rerank_sentiments_a,question,vector_scores_question,bm25_scores_raw,bm25_scores_question,reranked_score,ranks,ground_truth,correctness,vector_distances_a_min,vector_distances_a_max,bm25_scores_a_min,bm25_scores_a_max,vector_distances_question_min,vector_distances_question_max,bm25_scores_raw_min,bm25_scores_raw_max,reranked_score_min,reranked_score_max
1,21645374,PubmedQA,"Yes, mitochondria actively remodel lace plant leaves during PCD, shown by their dynamic redistribution, clustering with chloroplasts around the nucleus, and altered membrane potential.",yes,"[94.559, 101.198, 123.31]","[0.734, 0.712, 0.639]","[2.91, 1.531, 1.011]","[['neutral'], ['neutral'], ['neutral']]",Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,"[153.808, 48.806, 20.132]","[0.746, 0.961, 1.019]","[0, 28.47, 29.29]","[0, 1.424, 1.465]","[0.764, 0.96, 0.221]",yes,correct,94.559,123.31,1.011,2.91,20.132,153.808,0,29.29,0.221,0.96
12,19054501,PubmedQA,"Yes, studies suggest motion perception deficits in schizophrenia arise from impaired extraretinal motion processing linked to abnormal smooth pursuit, indicating the deficits are largely a consequence of eye‑tracking abnormalities.",yes,"[57.205, 59.303, 68.099, 68.22, 72.2, 81.278, 83.79, 101.632]","[0.856, 0.849, 0.821, 0.82, 0.807, 0.777, 0.769, 0.71]","[3.355, 3.355, 3.355, 2.813, 2.813, 2.813, 2.784, 2.784, 2.784, 2.022, 2.022, 2.022, 1.775, 1.775, 1.775, 1.414, 1.414, 1.414, 1.258, 1.258, 1.258, 0.975, 0.975, 0.975]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction']]",Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,"[93.955, 98.787, 105.824, 112.868, 83.626, 105.611, 100.571, 75.655]","[0.868, 0.859, 0.844, 0.83, 0.89, 0.845, 0.855, 0.906]","[0, 0, 0, 0, 0, 0, 17.7, 21.84]","[0, 0, 0, 0, 0, 0, 0.885, 1.092]","[0.935, 0.855, 0.355, 0.335, 0.125, 0.117, 0.993, 0.991]",yes,correct,57.205,101.632,0.975,3.355,75.655,112.868,0,21.84,0.117,0.993
38,23497210,PubmedQA,"Yes, women with major depression in pregnancy can be identified in population health data, but identification is incomplete. Only about 13.6 % of cases appear in both PBS dispensing and HMDS hospital records, and capture‑recapture estimates suggest ~15 % prevalence, indicating many cases are missed in either dataset alone.",yes,"[55.92, 90.524, 90.903, 96.311, 107.723, 118.49, 130.996, 135.528, 136.561]","[0.861, 0.747, 0.746, 0.728, 0.69, 0.655, 0.614, 0.599, 0.596]","[6.799, 4.502, 4.266, 3.163, 2.503, 2.491, 2.456, 1.831, 1.381]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Are women with major depression in pregnancy identifiable in population health data?,"[181.591, 183.31, 197.722, 183.12, 147.594, 146.355, 67.941, 174.747, 0]","[0.689, 0.686, 0.656, 0.686, 0.759, 0.761, 0.922, 0.703, 0]","[0, 0, 0, 0, 0, 0, 13.48, 11.03, 11.46]","[0, 0, 0, 0, 0, 0, 0.674, 0.551, 0.573]","[0.985, 0.863, 0.78, 0.378, 0.174, 0.173, 0.974, 0.849, 0.117]",no,incorrect,55.92,136.561,1.381,6.799,0,197.722,0,13.48,0.117,0.985
45,28127977,PubmedQA,"No, serum leptin levels are not a prognostic factor in advanced lung cancer.",no,"[60.869, 61.375, 78.583, 79.613, 84.348, 103.826, 124.188, 148.311, 155.857]","[0.844, 0.843, 0.786, 0.783, 0.767, 0.703, 0.636, 0.557, 0.532]","[0.966, 0.887, 0.876, 0.839, 0.811, 0.725, 0.484, 0.421, 0.299]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Are serum leptin levels a prognostic factor in advanced lung cancer?,"[135.095, 78.788, 55.691, 142.883, 108.661, 146.502, 121.524, 93.338, 70.905, 100.04]","[0.784, 0.899, 0.947, 0.768, 0.838, 0.761, 0.812, 0.87, 0.916, 0.856]","[0, 0, 0, 0, 0, 0, 0, 17.1, 18.06, 16.81]","[0, 0, 0, 0, 0, 0, 0, 0.855, 0.903, 0.841]","[0.995, 0.993, 0.99, 0.987, 0.885, 0.649, 0.183, 0.988, 0.979, 0.52]",no,correct,60.869,155.857,0.299,0.966,55.691,146.502,0,18.06,0.183,0.995
46,22428608,PubmedQA,"Yes, QTcD predicts LVH in hypertensives.",yes,"[188.404, 224.34, 252.058, 281.018, 285.45]","[0.425, 0.307, 0.216, 0.121, 0.106]","[0.893, 0.518, 0.517, 0.319, 0.22]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Would corrected QT dispersion predict left ventricular hypertrophy in hypertensive patients?,"[126.065, 166.577, 174.852, 83.662, 57.683]","[0.803, 0.72, 0.703, 0.89, 0.943]","[0, 0, 0, 23.74, 23.96]","[0, 0, 0, 1.187, 1.198]","[0.993, 0.914, 0.798, 0.984, 0.94]",yes,correct,188.404,285.45,0.22,0.893,57.683,174.852,0,23.96,0.798,0.993
48,22758782,PubmedQA,"No, regional anesthesia does not reduce morbidity, mortality, or healthcare costs compared with general anesthesia in geriatric hip‑fracture surgery.",no,"[121.08, 134.289, 134.431, 165.403, 172.456, 175.385, 208.658]","[0.646, 0.603, 0.603, 0.501, 0.478, 0.468, 0.359]","[3.143, 2.05, 1.838, 1.622, 1.078, 0.81, 0.726]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","Regional anesthesia as compared with general anesthesia for surgery in geriatric patients with hip fracture: does it decrease morbidity, mortality, and health care costs?","[138.923, 142.92, 169.592, 120.106, 96.68, 40.315, 86.281]","[0.777, 0.768, 0.714, 0.815, 0.863, 0.978, 0.884]","[0, 0, 0, 0, 0, 26.07, 26.36]","[0, 0, 0, 0, 0, 1.304, 1.318]","[0.979, 0.955, 0.929, 0.539, 0.173, 0.957, 0.956]",no,correct,121.08,208.658,0.726,3.143,40.315,169.592,0,26.36,0.173,0.979
68,9767546,PubmedQA,"Yes, the elevated pentosidine, MDA‑lysine and CML in uremic plasma show increased oxidative stress, reflecting a broad derangement in non‑enzymatic carbohydrate and lipid autoxidation.",yes,"[122.081, 126.018, 131.063, 143.12, 173.743, 178.312]","[0.643, 0.63, 0.614, 0.574, 0.473, 0.458]","[3.241, 3.131, 3.007, 2.832, 2.125, 1.905]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Autoxidation products of both carbohydrates and lipids are increased in uremic plasma: is there oxidative stress in uremia?,"[170.677, 150.758, 184.191, 173.477, 53.676, 127.708]","[0.712, 0.752, 0.684, 0.706, 0.951, 0.799]","[0, 0, 0, 0, 33.55, 25.25]","[0, 0, 0, 0, 1.677, 1.263]","[0.982, 0.822, 0.821, 0.4, 0.865, 0.479]",yes,correct,122.081,178.312,1.905,3.241,53.676,184.191,0,33.55,0.4,0.982
70,24809662,PubmedQA,"No, concomitant anterior/apical repair does not provide additional improvement in the overactive bladder component beyond what is achieved with a midurethral sling alone.",no,"[92.183, 194.338, 207.859, 240.649]","[0.741, 0.406, 0.361, 0.254]","[3.135, 2.09, 1.472, 0.333]","[['neutral'], ['entailment'], ['contradiction'], ['neutral']]",Does concomitant anterior/apical repair during midurethral sling improve the overactive bladder component of mixed incontinence?,"[221.1, 192.772, 51.979, 193.338]","[0.609, 0.666, 0.954, 0.665]","[0, 29.78, 38.62, 20.02]","[0, 1.489, 1.931, 1.001]","[0.549, 0.978, 0.941, 0.42]",no,correct,92.183,240.649,0.333,3.135,51.979,221.1,0,38.62,0.42,0.978
73,20382292,PubmedQA,"Yes, knee extensor strength is positively correlated with dynamic stability, and dynamic stability is positively correlated with functional ambulation in Parkinson’s disease; however, knee extensor strength itself does not directly predict functional ambulation.",yes,"[59.076, 73.138, 75.964, 77.237, 83.827, 101.478, 101.966, 108.97, 109.218, 130.205]","[0.85, 0.804, 0.795, 0.791, 0.769, 0.711, 0.709, 0.686, 0.685, 0.617]","[3.858, 3.459, 2.562, 2.125, 1.776, 1.739, 1.169, 1.11, 0.732, 0.686]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","Knee extensor strength, dynamic stability, and functional ambulation: are they related in Parkinson's disease?","[167.089, 130.699, 151.602, 118.337, 145.028, 133.573, 130.71, 163.179, 111.731, 118.793]","[0.719, 0.793, 0.751, 0.819, 0.764, 0.787, 0.793, 0.727, 0.832, 0.818]","[0, 0, 0, 0, 0, 0, 0, 0, 24.48, 25.02]","[0, 0, 0, 0, 0, 0, 0, 0, 1.224, 1.251]","[0.993, 0.986, 0.986, 0.962, 0.845, 0.578, 0.496, 0.324, 0.992, 0.99]",yes,correct,59.076,130.205,0.686,3.858,111.731,167.089,0,25.02,0.324,0.993
90,26113007,PubmedQA,"No, arch form is independent of sagittal molar relationship and Bolton tooth‑size discrepancy.",no,"[78.279, 118.966, 127.061, 146.128, 146.247, 152.019, 167.722, 181.029, 181.653, 203.939]","[0.787, 0.653, 0.627, 0.564, 0.564, 0.545, 0.493, 0.45, 0.447, 0.374]","[1.418, 0.629, 0.541, 0.538, 0.519, 0.501, 0.489, 0.403, 0.343, 0.325]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Is arch form influenced by sagittal molar relationship or Bolton tooth-size discrepancy?,"[111.039, 156.201, 163.214, 112.226, 136.63, 148.488, 152.279, 104.734, 123.992, 53.866]","[0.834, 0.741, 0.727, 0.831, 0.781, 0.757, 0.749, 0.846, 0.807, 0.95]","[0, 0, 0, 0, 0, 0, 0, 28.78, 25.53, 30.85]","[0, 0, 0, 0, 0, 0, 0, 1.439, 1.277, 1.543]","[0.996, 0.993, 0.991, 0.976, 0.971, 0.91, 0.48, 0.988, 0.977, 0.921]",no,correct,78.279,203.939,0.325,1.418,53.866,163.214,0,30.85,0.48,0.996
123,25417760,PubmedQA,"Yes, they differ. Perimenopause/post‑menopause raises recurrence risk but not first‑onset; hormone levels are not linked. Prior anxiety, life events, and other psychosocial factors predict first‑onset.",yes,"[151.467, 191.447, 193.247, 222.156, 223.533, 227.49, 229.124]","[0.547, 0.415, 0.409, 0.314, 0.31, 0.297, 0.291]","[4.356, 2.392, 2.136, 1.623, 1.621, 1.442, 1.267]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Risk factors for major depression during midlife among a community sample of women with and without prior major depression: are they the same or different?,"[133.6, 136.638, 164.546, 169.976, 157.377, 148.186, 51.63]","[0.787, 0.781, 0.724, 0.713, 0.739, 0.758, 0.955]","[0, 0, 0, 0, 0, 21.55, 27.25]","[0, 0, 0, 0, 0, 1.078, 1.363]","[0.965, 0.932, 0.808, 0.675, 0.11, 0.984, 0.975]",no,incorrect,151.467,229.124,1.267,4.356,51.63,169.976,0,27.25,0.11,0.984
134,23949294,PubmedQA,"Yes, the study shows >90% of patients had VL <200 copies/mL, half were suppressed on first‑line ART, and only 16% required third‑line drugs, indicating feasibility of long‑term viral load suppression in resource‑limited settings.",yes,"[120.775, 136.025, 140.149, 167.939, 172.103, 206.407, 206.515, 229.263]","[0.647, 0.597, 0.584, 0.493, 0.479, 0.366, 0.366, 0.291]","[11.611, 5.167, 4.289, 2.56, 1.866, 1.407, 0.295, 0.227]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Treatment as prevention in resource-limited settings: is it feasible to maintain HIV viral load suppression over time?,"[181.814, 240.334, 172.798, 211.996, 240.236, 134.016, 129.616, 57.984]","[0.689, 0.569, 0.707, 0.627, 0.569, 0.787, 0.796, 0.942]","[0, 0, 0, 0, 0, 22.33, 22.21, 26.77]","[0, 0, 0, 0, 0, 1.116, 1.11, 1.339]","[0.996, 0.996, 0.994, 0.921, 0.903, 0.998, 0.997, 0.982]",yes,correct,120.775,229.263,0.227,11.611,57.984,240.334,0,26.77,0.903,0.998
140,19142546,PubmedQA,"No, quantitative left‑ventricular regional wall motion does not change after fibrous tissue resection in endomyocardial fibrosis.",no,"[62.695, 68.454, 72.139, 81.559, 82.447, 87.517, 118.403, 125.758, 128.214, 137.194, 140.809, 160.23]","[0.838, 0.819, 0.807, 0.776, 0.773, 0.757, 0.655, 0.631, 0.623, 0.594, 0.582, 0.518]","[1.898, 1.794, 1.757, 1.59, 1.477, 1.274, 1.185, 0.791, 0.721, 0.592, 0.471, 0.419]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?,"[65.119, 157.096, 147.836, 70.328, 59.525, 140.364, 137.595, 103.452, 106.163, 44.022, 40.354, 47.975]","[0.927, 0.739, 0.758, 0.917, 0.939, 0.774, 0.779, 0.849, 0.844, 0.971, 0.978, 0.962]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 30.27, 32.16, 35.93]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.513, 1.608, 1.796]","[0.993, 0.991, 0.99, 0.989, 0.988, 0.988, 0.983, 0.861, 0.577, 0.991, 0.981, 0.841]",no,correct,62.695,160.23,0.419,1.898,40.354,157.096,0,35.93,0.577,0.993
143,27050505,PubmedQA,"Yes, the ACE‑1 DD genotype is linked to higher chronic kidney disease risk in hypertensive patients.",yes,"[83.136, 103.697, 121.18, 127.371, 128.399, 174.851, 187.754]","[0.771, 0.704, 0.646, 0.626, 0.622, 0.47, 0.427]","[1.925, 1.466, 1.382, 0.812, 0.677, 0.676, 0.498]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]",Does angiotensin-converting enzyme-1 (ACE-1) gene polymorphism lead to chronic kidney disease among hypertensive patients?,"[124.938, 111.895, 147.604, 150.815, 134.039, 97.389, 40.279]","[0.805, 0.832, 0.759, 0.752, 0.787, 0.861, 0.978]","[0, 0, 0, 0, 0, 29.71, 25.24]","[0, 0, 0, 0, 0, 1.485, 1.262]","[0.994, 0.993, 0.979, 0.95, 0.576, 0.974, 0.935]",yes,correct,83.136,187.754,0.498,1.925,40.279,150.815,0,29.71,0.576,0.994
