mean_distance_a,relevance_score,hallucination_index,vector_distances,vector_scores,bm25_scores,vector_reranked_scores,bm25_reranked_scores
106.356,69.0,-0.0,"[94.559, 101.198, 123.31]","[0.734, 0.712, 0.639]","[1.338, 0.607]","[['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
143.087,57.0,27.0,"[109.046, 118.18, 125.229, 126.804, 151.438, 152.755, 157.03, 157.089, 190.209]","[0.686, 0.656, 0.633, 0.628, 0.547, 0.542, 0.528, 0.528, 0.419]","[1.313, 1.301]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
293.693,8.0,73.0,"[243.879, 253.428, 253.762, 287.326, 326.435, 397.329]","[0.243, 0.212, 0.211, 0.1, -0.028, -0.261]","[2.386, 0.435]","[['neutral'], ['contradiction'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
237.437,26.0,95.0,"[156.379, 190.355, 198.697, 246.775, 302.074, 330.342]","[0.53, 0.419, 0.391, 0.233, 0.052, -0.041]","[1.655, 1.227]","[['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
204.759,37.0,71.0,"[185.06, 224.458]","[0.436, 0.307]","[1.085]","[['neutral'], ['neutral']]","[['neutral']]"
154.933,54.0,29.0,"[120.243, 144.043, 167.899, 187.548]","[0.649, 0.571, 0.493, 0.428]","[2.524, 0.706]","[['entailment'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
177.456,46.0,34.0,"[138.807, 151.126, 164.043, 164.117, 178.371, 178.561, 183.438, 187.72, 191.645, 236.731]","[0.588, 0.548, 0.505, 0.505, 0.458, 0.458, 0.442, 0.428, 0.415, 0.266]","[4.325, 1.956, 0.611]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
121.378,65.0,18.0,"[75.099, 89.824, 92.589, 104.098, 116.847, 117.426, 126.542, 133.042, 166.292, 192.02]","[0.798, 0.749, 0.74, 0.702, 0.66, 0.658, 0.629, 0.607, 0.498, 0.413]","[3.035, 1.54]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
179.143,46.0,53.0,"[132.061, 160.008, 171.544, 204.589, 227.512]","[0.61, 0.519, 0.481, 0.372, 0.297]","[0.46]","[['entailment'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction']]","[['contradiction']]"
142.592,58.0,20.0,"[124.972, 127.858, 174.945]","[0.634, 0.624, 0.469]","[4.733, 1.825]","[['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
