QID,pubmed_id,mean_distance_a,relevance_score,hallucination_index,vector_distances,vector_scores,bm25_scores,rerank_sentiments
1,2404.00822v2,213.215,34.0,53.0,"[106.984, 159.259, 159.346, 159.524, 160.879, 106.984, 159.259, 159.346, 159.524, 160.879]","[0.693, 0.521, 0.521, 0.52, 0.516, 0.693, 0.521, 0.521, 0.52, 0.516]","[0.488, 0.471, 0.342, 0.29, 0.276, 0.488, 0.471, 0.342, 0.29, 0.276]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
2,2411.14884v3,206.445,37.0,55.0,"[157.783, 179.083, 190.909, 198.909, 207.249, 157.783, 179.083, 198.909]","[0.526, 0.456, 0.417, 0.391, 0.363, 0.526, 0.456, 0.391]","[0.425, 0.37, 0.3, 0.244, 0.221, 0.425, 0.37, 0.244]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
3,2406.17972v3,177.393,46.0,45.0,"[125.373, 148.879, 150.875, 161.046, 174.861, 177.05, 181.057, 186.942, 189.046, 125.373, 189.046, 150.875]","[0.632, 0.555, 0.549, 0.515, 0.47, 0.463, 0.449, 0.43, 0.423, 0.632, 0.423, 0.549]","[0.458, 0.338, 0.257, 0.226, 0.199, 0.188, 0.188, 0.169, 0.146, 0.458, 0.146, 0.257]","['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']"
4,2412.10128v2,153.573,54.0,36.0,"[117.818, 161.559, 117.818]","[0.657, 0.513, 0.657]","[0.209, 0.183, 0.209]","['neutral', 'contradiction', 'neutral']"
5,2412.15239v2,318.12,-0.0,81.0,"[200.633, 308.276, 308.684, 316.977, 318.551, 330.466, 331.886, 334.841, 342.484, 318.551, 334.841]","[0.385, 0.031, 0.03, 0.003, -0.002, -0.042, -0.046, -0.056, -0.081, -0.002, -0.056]","[0.358, 0.225, 0.167, 0.113, 0.101, 0.093, 0.078, 0.033, 0.032, 0.101, 0.033]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
6,2403.18677v2,198.633,39.0,51.0,"[116.598, 175.715, 116.598, 289.08]","[0.661, 0.467, 0.661, 0.094]","[0.496, 0.14, 0.496, 0.007]","['neutral', 'neutral', 'neutral', 'neutral']"
7,2412.06611v2,286.357,10.0,79.0,"[169.735, 255.407, 261.478, 281.009, 283.294, 169.735, 255.407, 261.478, 281.009, 0]","[0.487, 0.205, 0.185, 0.121, 0.113, 0.487, 0.205, 0.185, 0.121, 0]","[0.878, 0.48, 0.227, 0.141, 0.023, 0.878, 0.48, 0.227, 0.141, 0.01]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
8,2411.13384v2,225.735,30.0,59.0,"[132.815, 189.784, 226.016, 245.506, 258.774, 260.311, 266.936, 0, 266.936, 0, 189.784, 226.016, 0]","[0.608, 0.421, 0.302, 0.238, 0.194, 0.189, 0.167, 0, 0.167, 0, 0.421, 0.302, 0]","[0.199, 0.183, 0.121, 0.105, 0.058, 0.052, 0.047, 0.044, 0.047, 0.044, 0.183, 0.121, 0.003]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']"
9,2409.01631v3,393.928,0,77.0,"[359.951, 379.126, 396.135, 410.534, 423.892]","[-0.138, -0.201, -0.257, -0.305, -0.349]","[0.043, 0.033, 0.02, 0.017, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
10,2412.11130v5,263.709,18.0,78.0,"[170.536, 198.835, 225.669, 239.127, 252.022, 255.496, 257.224, 258.261, 266.833, 170.536, 198.835, 225.669, 239.127, 252.022, 255.496, 257.224]","[0.484, 0.391, 0.303, 0.259, 0.216, 0.205, 0.199, 0.196, 0.168, 0.484, 0.391, 0.303, 0.259, 0.216, 0.205, 0.199]","[0.171, 0.121, 0.111, 0.065, 0.059, 0.056, 0.051, 0.051, 0.039, 0.171, 0.121, 0.111, 0.065, 0.059, 0.056, 0.051]","['neutral', 'neutral', 'entailment', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction', 'neutral', 'neutral', 'neutral']"
