pubmed_id,questions
21645374,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?
26852225,Is adjustment for reporting heterogeneity necessary in sleep disorders?
17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?
25957366,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?
26578404,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?
21669959,Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?
23806388,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?
17919952,Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?
10966943,Amblyopia: is visual loss permanent?
28707539,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?
26298839,Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?
19054501,Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?
24237112,Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?
11340218,Does pretreatment with statins improve clinical outcome after stroke?
25481573,Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?
23177368,Does immediate breast reconstruction compromise the delivery of adjuvant chemotherapy?
17179167,Human papillomavirus and pterygium. Is the virus a risk factor?
27491658,Can predilatation in transcatheter aortic valve implantation be omitted?
19822586,Autoerotic asphyxiation: secret pleasure--lethal outcome?
22453060,Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®?
22427593,"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?"
11570976,Is it Crohn's disease?
27592038,Does multi-modal cervical physical therapy improve tinnitus in patients with cervicogenic somatic tinnitus?
27044366,Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?
23076787,Can increases in the cigarette tax rate be linked to cigarette retail prices?
22564465,Mammographic screening in Sami speaking municipalities and a control group. Are early outcome measures influenced by ethnicity?
27456836,Do Electrochemiluminescence Assays Improve Prediction of Time to Type 1 Diabetes in Autoantibody-Positive TrialNet Subjects?
24160268,"""Would a man smell a rose then throw it away?"
18565233,Does the lipid-lowering peroxisome proliferator-activated receptors ligand bezafibrate prevent colon cancer in patients with coronary artery disease?
22042121,Perioperative care in an animal model for training in abdominal surgery: is it necessary a preoperative fasting?
18322741,Does laparoscopic surgery decrease the risk of atrial fibrillation after foregut surgery?
25691513,Do communication disorders extend to musical messages?
19409117,Can infundibular height predict the clearance of lower pole calyceal stone after extracorporeal shockwave lithotripsy?
21900017,Does lung ischemia and reperfusion have an impact on coronary flow?
27448572,Is duration of psychological treatment for depression related to return into treatment?
25987398,The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?
16816043,Do French lay people and health professionals find it acceptable to breach confidentiality to protect a patient's wife from a sexually transmitted disease?
23497210,Are women with major depression in pregnancy identifiable in population health data?
20602784,Identification of racial disparities in breast cancer mortality: does scale matter?
12913878,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?
10223070,Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy?
8566975,Serovar specific immunity to Neisseria gonorrhoeae: does it exist?
28359277,Do healthier lifestyles lead to less utilization of healthcare resources?
11411430,Antral follicle assessment as a tool for predicting outcome in IVF--is it a better predictor than age and FSH?
28127977,Are serum leptin levels a prognostic factor in advanced lung cancer?
22428608,Would corrected QT dispersion predict left ventricular hypertrophy in hypertensive patients?
27858166,Traumatic aortic injury: does the anatomy of the aortic arch influence aortic trauma severity?
22758782,"Regional anesthesia as compared with general anesthesia for surgery in geriatric patients with hip fracture: does it decrease morbidity, mortality, and health care costs?"
16428354,Does rural or urban residence make a difference to neonatal outcome in premature birth?
24245816,Is trabecular bone related to primary stability of miniscrews?
24666444,"Is there any evidence of a ""July effect"" in patients undergoing major cancer surgery?"
1571683,Storage of vaccines in the community: weak link in the cold chain?
11970923,Convulsions and retinal haemorrhage: should we look further?
12846929,Quality of life in lung cancer patients: does socioeconomic status matter?
25156467,Should early extubation be the goal for children after congenital cardiac surgery?
28143468,Are performance measurement systems useful?
22720085,Does insulin resistance drive the association between hyperglycemia and cardiovascular risk?
24433626,Prevalence of chronic conditions among Medicare Part A beneficiaries in 2008 and 2010: are Medicare beneficiaries getting sicker?
17008699,Do patients with localized prostate cancer treatment really want more aggressive treatment?
23228527,Does music influence stress in mechanically ventilated patients?
15489384,Does reducing spasticity translate into functional benefit?
23794696,Does the bracket-ligature combination affect the amount of orthodontic space closure over three months?
2224269,Should general practitioners call patients by their first names?
10548670,Does the National Institutes of Health Stroke Scale favor left hemisphere strokes?
15280782,Is unsafe sexual behaviour increasing among HIV-infected individuals?
26370095,Are financial incentives cost-effective to support smoking cessation during pregnancy?
15065192,Three-dimensional ultrasound-validated large-core needle biopsy: is it a reliable method for the histological assessment of breast lesions?
9767546,Autoxidation products of both carbohydrates and lipids are increased in uremic plasma: is there oxidative stress in uremia?
23321509,Quaternary cytoreductive surgery in ovarian cancer: does surgical effort still matter?
24809662,Does concomitant anterior/apical repair during midurethral sling improve the overactive bladder component of mixed incontinence?
12805495,Can patients be anticoagulated after intracerebral hemorrhage?
19925761,Diagnostic and therapeutic ureteroscopy: is dilatation of ureteral meatus always necessary?
20382292,"Knee extensor strength, dynamic stability, and functional ambulation: are they related in Parkinson's disease?"
22236315,"Is distance to provider a barrier to care for medicaid patients with breast, colorectal, or lung cancer?"
