question_id,mean_distance_a,relevance_score_a,hallucination_index_by_ml,hallucination_index_by_equation,vector_distances_a,vector_scores_a,bm25_scores_a,rerank_sentiments_a
1,57.317,95.0,34.0,0,"[35.915, 48.28, 55.299, 56.258, 67.632, 67.632]","[0.897, 0.807, 0.757, 0.75, 0.668, 0.668]","[0.657, 0.437, 0.215, 0.173, 0.137, 0.137]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
2,61.101,91.0,32.0,0,"[46.481, 47.363, 51.038, 53.504, 55.194, 46.481, 62.46, 75.984, 78.455, 79.324]","[0.82, 0.814, 0.788, 0.77, 0.758, 0.82, 0.705, 0.607, 0.589, 0.583]","[0.899, 0.846, 0.553, 0.445, 0.423, 0.899, 0.238, 0.22, 0.184, 0.137]","['neutral', 'neutral', 'contradiction', 'entailment', 'entailment', 'neutral', 'neutral', 'neutral', 'entailment', 'entailment']"
3,67.382,87.0,32.0,0,"[43.959, 46.322, 52.644, 54.15, 56.214, 57.881, 65.631, 72.198, 72.202, 46.322, 72.198, 72.202, 43.959, 102.171]","[0.839, 0.822, 0.776, 0.765, 0.75, 0.738, 0.682, 0.635, 0.635, 0.822, 0.635, 0.635, 0.839, 0.418]","[0.935, 0.794, 0.644, 0.547, 0.537, 0.476, 0.467, 0.442, 0.398, 0.794, 0.442, 0.398, 0.935, 0.165]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
4,46.866,94.0,34.0,0,"[28.141, 30.815, 31.78, 34.866, 36.884, 37.441, 46.693, 37.441, 28.141, 57.386, 69.811, 91.872]","[0.953, 0.934, 0.927, 0.904, 0.89, 0.886, 0.819, 0.886, 0.953, 0.742, 0.652, 0.493]","[1.072, 0.929, 0.53, 0.519, 0.516, 0.498, 0.459, 0.498, 1.072, 0.292, 0.207, 0.146]","['neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral']"
5,55.979,94.0,29.0,0,"[35.85, 36.304, 52.482, 53.512, 58.248, 60.024, 36.304, 35.85]","[0.897, 0.894, 0.777, 0.77, 0.735, 0.723, 0.894, 0.897]","[0.765, 0.515, 0.401, 0.303, 0.272, 0.251, 0.515, 0.765]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
6,58.795,89.0,35.0,0,"[31.337, 37.556, 40.06, 45.614, 60.702, 37.556, 84.589, 89.781]","[0.93, 0.885, 0.867, 0.827, 0.718, 0.885, 0.545, 0.508]","[1.038, 0.928, 0.738, 0.723, 0.354, 0.928, 0.268, 0.239]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
7,67.0,87.0,35.0,0,"[28.308, 38.592, 56.354, 67.019, 56.354, 86.078, 86.336, 99.379]","[0.952, 0.877, 0.749, 0.672, 0.749, 0.534, 0.533, 0.438]","[0.965, 0.75, 0.68, 0.579, 0.68, 0.385, 0.188, 0.156]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
8,67.348,84.0,34.0,0,"[19.425, 42.712, 63.705, 63.982, 68.502, 63.705, 94.728, 100.351]","[1.016, 0.848, 0.696, 0.694, 0.661, 0.696, 0.472, 0.431]","[1.267, 1.25, 0.944, 0.659, 0.419, 0.944, 0.2, 0.198]","['entailment', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral']"
9,50.967,94.0,36.0,0,"[31.368, 32.819, 36.575, 46.147, 50.144, 52.147, 53.025, 53.269, 53.629, 46.147, 67.535, 68.199]","[0.93, 0.919, 0.892, 0.823, 0.794, 0.78, 0.773, 0.771, 0.769, 0.823, 0.668, 0.664]","[0.908, 0.722, 0.672, 0.57, 0.428, 0.411, 0.337, 0.304, 0.289, 0.57, 0.189, 0.171]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
10,63.731,96.0,33.0,0,"[43.746, 45.62, 52.079, 58.31, 59.088, 59.123, 63.134, 74.485, 43.746, 81.047, 85.709]","[0.84, 0.827, 0.78, 0.735, 0.729, 0.729, 0.7, 0.618, 0.84, 0.571, 0.537]","[0.184, 0.18, 0.157, 0.146, 0.125, 0.125, 0.112, 0.11, 0.184, 0.047, 0.039]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
